,AA,AC,AD,AE,AF,AG,AH,AI,AK,AL,AM,AN,AP,AQ,AR,AS,AT,AV,AW,AY,CA,CC,CD,CE,CF,CG,CH,CI,CK,CL,CM,CN,CP,CQ,CR,CS,CT,CV,CW,CY,DA,DC,DD,DE,DF,DG,DH,DI,DK,DL,DM,DN,DP,DQ,DR,DS,DT,DV,DW,DY,EA,EC,ED,EE,EF,EG,EH,EI,EK,EL,EM,EN,EP,EQ,ER,ES,ET,EV,EW,EY,FA,FC,FD,FE,FF,FG,FH,FI,FK,FL,FM,FN,FP,FQ,FR,FS,FT,FV,FW,FY,GA,GC,GD,GE,GF,GG,GH,GI,GK,GL,GM,GN,GP,GQ,GR,GS,GT,GV,GW,GY,HA,HC,HD,HE,HF,HG,HH,HI,HK,HL,HM,HN,HP,HQ,HR,HS,HT,HV,HW,HY,IA,IC,ID,IE,IF,IG,IH,II,IK,IL,IM,IN,IP,IQ,IR,IS,IT,IV,IW,IY,KA,KC,KD,KE,KF,KG,KH,KI,KK,KL,KM,KN,KP,KQ,KR,KS,KT,KV,KW,KY,LA,LC,LD,LE,LF,LG,LH,LI,LK,LL,LM,LN,LP,LQ,LR,LS,LT,LV,LW,LY,MA,MC,MD,ME,MF,MG,MH,MI,MK,ML,MM,MN,MP,MQ,MR,MS,MT,MV,MW,MY,NA,NC,ND,NE,NF,NG,NH,NI,NK,NL,NM,NN,NP,NQ,NR,NS,NT,NV,NW,NY,PA,PC,PD,PE,PF,PG,PH,PI,PK,PL,PM,PN,PP,PQ,PR,PS,PT,PV,PW,PY,QA,QC,QD,QE,QF,QG,QH,QI,QK,QL,QM,QN,QP,QQ,QR,QS,QT,QV,QW,QY,RA,RC,RD,RE,RF,RG,RH,RI,RK,RL,RM,RN,RP,RQ,RR,RS,RT,RV,RW,RY,SA,SC,SD,SE,SF,SG,SH,SI,SK,SL,SM,SN,SP,SQ,SR,SS,ST,SV,SW,SY,TA,TC,TD,TE,TF,TG,TH,TI,TK,TL,TM,TN,TP,TQ,TR,TS,TT,TV,TW,TY,VA,VC,VD,VE,VF,VG,VH,VI,VK,VL,VM,VN,VP,VQ,VR,VS,VT,VV,VW,VY,WA,WC,WD,WE,WF,WG,WH,WI,WK,WL,WM,WN,WP,WQ,WR,WS,WT,WV,WW,WY,YA,YC,YD,YE,YF,YG,YH,YI,YK,YL,YM,YN,YP,YQ,YR,YS,YT,YV,YW,YY
EE,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,1,0,1,0,2,5,1,0,2,0,0,0,5,7,0,0,49,580,0,0,0,0,0,0,0,2,4,0,0,0,0,33,0,0,0,3,348,1391,0,214,0,4,0,0,0,0,22,0,0,0,0,34,2,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,246,1,4,66,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6,0,0,0,0,0,3,0,0,15,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,2,0,1,42,1,69,2,33,4,0,0,0,15,2,28,20,0,13,1,0,0,0,0,20,2,0,0,0,0,0,1,0,45,0,0,118,0,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,38,7,0,0,3,0,0,0,0,11,12,0,0,0,1,9,11,0,6,0,0,4,0,6,5,0,0,2,6,0,0,0,0,0,3,2,4,0,1,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,4,1,11
EF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,14,1,1,0,0,0,0,0,0,2,0,0,0,0,18,0,0,0,10,11,42,1,3,0,2,0,0,0,0,8,0,0,0,0,29,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,5,0,0,0,1,6,2,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,1,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,7,0,0,0,0,3,1,0,0,0,8,0,0,0,0,0,1,3,0,0,0,0,0,4,0,48,0,0,5,0,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,3,0,0,0,1,2,0,0,2,0,0,6,0,0,9,0,0,1,0,0,0,0,0,1,2,3,1,0,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0
EG,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,109,0,0,0,0,1,6,0,2,33,1,0,0,0,0,1,0,4,0,0,29,394,0,5,0,1,0,0,0,7,3,0,0,0,0,82,1,0,0,28,145,767,2,315,0,5,0,0,0,0,42,0,0,0,0,76,4,0,0,14,0,0,3,41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,73,15,4,37,0,0,0,0,2,0,0,8,6,0,0,0,0,1,8,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,2,1,0,0,2,0,0,0,2,0,0,0,0,0,0,15,0,0,0,0,7,60,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,9,0,2,0,0,0,0,2,0,1,0,0,0,3,1,0,0,68,1,0,0,0,1,0,0,6,0,44,2,0,0,0,0,0,10,0,0,0,0,10,1,108,0,11,1,0,0,0,8,0,7,1,0,14,0,0,0,16,0,10,24,0,0,11,0,0,3,0,65,0,0,70,0,124,3,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,2,6,0,0,0,0,0,0,0,3,4,0,0,0,0,2,1,0,17,0,1,6,0,9,14,1,0,20,15,0,0,0,0,0,6,8,19,0,16,3,0,0,0,0,0,7,0,1,10,1,0,0,0,0,8,6,4
EH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,48,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,13,30,112,0,14,0,5,0,0,0,0,5,0,0,0,0,18,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,2,0,6,1,0,0,0,0,0,3,0,1,0,0,3,0,9,0,8,0,0,0,0,4,0,3,0,0,4,0,0,0,1,0,2,2,0,0,1,0,0,0,0,32,0,0,8,0,39,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,4,0,0,2,0,0,7,0,0,2,5,0,0,0,0,0,2,4,5,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
EI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,20,1,4,0,0,0,0,0,0,5,0,0,0,0,82,0,0,0,3,45,50,0,5,0,29,0,0,0,0,63,0,0,0,0,97,2,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,7,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,12,1,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,1,0,0,0,0,2,0,13,0,14,0,0,0,0,7,0,2,1,0,8,0,0,0,0,0,1,1,0,0,6,0,0,2,0,111,0,0,2,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,4,0,0,0,0,4,0,3,14,0,0,1,0,0,0,0,0,0,4,3,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
EK,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,2,0,3,5,1,0,1,0,0,0,2,1,0,0,20,217,0,3,0,0,0,0,0,1,2,0,0,0,0,137,0,0,0,0,116,399,0,40,0,20,0,0,0,0,45,0,0,0,0,78,6,0,0,1,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,64,0,8,15,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,5,0,0,22,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,17,7,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,5,0,0,0,0,3,0,2,0,0,0,0,11,0,0,6,6,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,9,0,1,0,0,59,1,29,1,62,0,0,0,0,24,3,49,11,0,105,0,0,0,1,0,4,10,0,0,2,0,0,3,0,128,0,0,38,0,153,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,19,8,0,0,0,0,0,0,0,33,5,0,0,0,11,3,6,0,6,0,0,8,0,8,12,1,0,1,7,0,0,0,0,0,10,2,10,0,0,4,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2
EL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,14,72,1,1,0,0,0,0,0,0,4,0,0,0,0,160,0,3,0,13,66,180,0,24,0,23,0,0,0,0,56,0,0,0,0,155,7,0,0,12,0,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,1,0,0,17,0,0,0,0,8,3,0,0,2,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,9,21,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,27,1,0,0,0,2,0,0,46,0,5,3,0,0,0,0,0,1,0,0,0,0,6,0,18,0,37,0,0,0,0,9,1,1,0,0,29,0,0,0,1,0,4,1,0,0,3,0,0,4,0,231,0,0,12,0,218,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,1,0,0,0,0,20,2,0,0,0,0,0,3,0,8,1,0,11,0,4,32,0,0,9,1,0,1,0,0,0,8,6,10,0,8,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,7,0
EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,0,0,0,0,0,0,0,0,2,0,0,0,0,25,0,0,0,2,24,76,0,10,0,8,0,0,0,0,12,0,0,0,0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,7,0,0,0,0,1,0,0,1,0,6,0,0,0,0,0,3,1,0,0,1,0,0,2,0,48,0,0,7,0,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,3,5,0,0,6,0,1,0,0,0,0,2,1,2,0,1,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,1
EN,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,43,0,0,0,0,4,0,0,1,3,0,0,1,0,0,0,1,2,0,0,31,121,0,1,0,0,0,0,0,1,3,0,0,0,0,26,0,0,0,16,59,394,0,58,0,5,0,0,0,0,17,0,0,0,0,41,6,0,0,1,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,7,26,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,8,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,2,0,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0,18,3,0,0,0,2,0,0,2,0,29,1,0,0,0,0,0,5,0,0,0,0,17,1,17,1,15,0,0,0,0,6,0,11,5,0,8,0,0,0,0,0,3,10,0,0,2,0,0,4,0,62,0,0,54,0,106,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,8,4,0,0,0,0,0,0,0,6,3,0,0,0,3,4,3,0,10,1,0,1,0,4,10,0,0,3,6,0,0,0,0,0,2,1,1,0,0,4,0,0,0,0,0,7,0,0,4,1,0,0,0,0,1,3,3
EP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,23,0,1,0,0,0,0,0,0,2,0,0,0,0,22,0,0,0,15,24,33,0,2,0,7,0,0,0,0,231,0,0,0,0,19,7,0,0,3,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,17,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,10,4,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,1,2,0,10,0,3,1,0,0,0,12,0,1,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,337,0,0,1,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,1,0,0,0,0,20,3,0,0,0,0,1,1,0,5,0,0,4,0,2,7,0,0,5,9,0,0,0,0,0,0,5,4,0,14,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1
EQ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,18,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,2,0,0,9,113,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,2,65,376,0,69,0,3,0,0,0,0,10,0,0,0,0,25,3,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48,2,1,14,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,6,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,6,0,0,0,0,11,1,25,0,12,1,0,0,0,10,0,11,4,0,10,0,0,0,1,0,10,5,0,0,3,0,0,6,0,43,0,0,46,0,60,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,0,0,0,0,0,5,4,0,0,0,0,2,3,0,4,0,0,3,0,1,7,0,0,1,2,0,0,1,0,0,2,2,4,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
ER,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,15,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,4,0,0,9,154,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,3,89,301,0,29,0,1,0,0,0,0,10,0,0,0,0,12,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,2,2,15,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,5,0,0,13,0,0,0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,12,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,1,0,10,5,0,0,0,0,0,0,2,0,20,0,0,0,0,0,0,6,0,4,0,0,46,2,26,7,24,1,0,0,0,8,4,48,17,1,41,0,0,0,2,0,2,13,0,0,0,0,0,2,0,28,0,0,31,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,26,3,0,0,0,0,0,0,0,15,4,0,0,0,1,6,13,0,4,0,0,2,0,0,6,0,0,1,2,0,0,0,0,0,0,2,5,0,0,11,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,4,1
ES,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,6,4,2,0,0,0,0,0,2,1,0,0,29,276,0,1,0,0,0,0,0,0,3,0,0,0,0,57,0,0,0,35,186,858,1,102,0,10,0,0,0,0,34,0,0,0,0,80,5,0,0,4,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,5,4,43,0,0,0,0,1,0,0,2,3,0,0,0,0,1,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,4,0,0,9,0,0,0,0,5,2,0,0,6,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,8,11,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,23,4,0,0,0,0,0,0,6,0,22,1,0,0,0,0,0,2,0,0,0,0,14,1,50,0,39,0,0,0,0,13,0,6,4,0,12,0,0,0,2,0,17,6,0,0,4,0,0,16,0,129,0,0,96,0,174,2,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,62,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,10,8,0,0,2,0,0,0,0,8,0,1,0,0,0,6,1,0,9,1,0,6,0,3,14,1,0,5,4,0,0,0,0,0,4,9,6,0,9,3,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,2,4
ET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,10,120,0,3,0,0,0,0,0,0,1,0,0,0,0,59,0,0,0,34,91,470,0,55,0,13,0,0,0,0,31,0,0,0,0,67,16,0,0,4,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1,0,23,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,12,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,17,4,0,0,0,1,0,0,3,0,13,0,0,0,0,0,0,3,0,1,0,0,9,1,22,0,31,1,0,0,0,12,0,9,4,0,14,0,0,0,4,0,3,2,0,0,3,0,0,8,0,152,0,0,47,0,219,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,6,0,0,1,0,0,0,0,10,2,0,0,0,0,5,1,0,24,0,0,11,0,1,13,0,0,7,3,0,0,0,0,0,2,11,8,0,6,1,0,0,0,0,0,2,0,1,0,6,0,0,0,0,4,2,1
EV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,7,47,0,0,0,0,0,0,0,0,11,0,0,0,0,165,0,0,0,7,51,104,0,11,0,40,0,0,0,0,121,0,0,0,0,198,9,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,26,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,13,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,15,1,0,0,0,1,0,0,3,0,4,2,0,0,0,0,0,2,0,0,0,1,1,0,17,0,27,0,0,0,0,7,0,2,1,1,30,0,1,0,5,0,0,1,0,0,14,0,0,3,0,234,0,0,5,0,239,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,1,0,0,1,0,1,2,0,1,0,0,6,0,3,38,0,0,2,1,0,0,0,0,0,2,0,5,0,1,1,0,0,0,0,0,1,0,3,0,9,0,0,0,0,5,1,0
